ANO;MES_DIAG;CASOS_NOVOS;DEGRAU;RAMPA
2018;Janeiro;2298;0;0
2018;Fevereiro;2257;0;0
2018;Marco;2516;0;0
2018;Abril;2469;0;0
2018;Maio;2593;0;0
2018;Junho;2257;0;0
2018;Julho;2304;0;0
2018;Agosto;2810;0;0
2018;Setembro;2580;0;0
2018;Outubro;2657;0;0
2018;Novembro;2259;0;0
2018;Dezembro;1733;0;0
2019;Janeiro;2480;0;0
2019;Fevereiro;2606;0;0
2019;Marco;2150;0;0
2019;Abril;2389;0;0
2019;Maio;2397;0;0
2019;Junho;2002;0;0
2019;Julho;2265;0;0
2019;Agosto;2463;0;0
2019;Setembro;2486;0;0
2019;Outubro;2576;0;0
2019;Novembro;2318;0;0
2019;Dezembro;1839;0;0
2020;Janeiro;2252;0;0
2020;Fevereiro;2153;0;0
2020;Marco;1791;1;0
2020;Abril;905;1;1
2020;Maio;907;1;2
2020;Junho;1098;1;3
2020;Julho;1350;1;4
2020;Agosto;1334;1;5
2020;Setembro;1596;1;6
2020;Outubro;1653;1;7
2020;Novembro;1469;1;8
2020;Dezembro;1310;1;9
2021;Janeiro;1185;1;10
2021;Fevereiro;1460;1;11
2021;Marco;1563;1;12
2021;Abril;1397;1;13
2021;Maio;1481;1;14
2021;Junho;1442;1;15
2021;Julho;1559;1;16
2021;Agosto;1710;1;17
2021;Setembro;1598;1;18
2021;Outubro;1488;1;19
2021;Novembro;1378;1;20
2021;Dezembro;971;1;21
